Movie_Title,Movie_ID,ListOfCertificate
Destiny Turns on the Radio,112854,R
Vicious Circle,118078,R
Repentance,2012665,R
Bee Season,387059,PG-13
The Virgin and the Gypsy,66528,R
Ek Ladki Ko Dekha Toh Aisa Laga,8108164,
Backstage,259207,R
Year of the Gun,103303,R
Cool Breeze,68409,R
Dylan Dog: Dead of Night,1013860,PG-13
"4 Months, 3 Weeks and 2 Days",1032846,
Saving Face,384504,R
Me and Orson Welles,1175506,PG-13
Kingdom Men Rising,10122042,
Ninotchka,31725,
Kill the Irishman,1416801,R
The Lair of the White Worm,95488,R
Indigo,379322,
Dancers,92822,PG
Return to Horror High,93854,R
High Hopes,95302,PG
The Lost World,16039,
The Women's Balcony,5974460,
When Night Is Falling,114916,R
Cool as Ice,101615,PG
All Is True,9206798,PG-13
Veteran,4768764,
Equilibrium,238380,R
Mute Witness,110604,R
Inequality for All,2215151,PG
Child 44,1014763,R
Namastey London,795434,
Beautifully Broken,5645932,PG-13
Heyy Babyy,806088,
The Thin Blue Line,96257,
The General,120706,R
The Personals,82898,PG
A Time of Destiny,96271,PG-13
Tough,200753,G
Daybreak,1784399,
Mandy,6998518,
Shut Up & Sing,811136,R
Dreamchild,89052,PG
Bol Bachchan,1728986,PG
The Farmer Takes a Wife,45752,
The Terror,19456,
Without You I'm Nothing,100946,R
Active Measures,8135494,PG-13
Mr. North,95665,PG
A Million to Juan,110518,PG
Nine Queens,247586,R
"Hook, Line and Sinker",64439,G
One Tough Cop,122642,R
Metropolis,17136,
Take This Waltz,1592281,R
Anna,92569,PG-13
Slow Burn,376196,R
3 idiotas,3685624,PG-13
"Car 54, Where Are You?",109376,PG-13
Picture Bride,114129,PG-13
Pink,5571734,
"For a Good Time, Call...",1996264,R
Queen of Hearts,98153,PG
Turn It Up,216772,R
Slumber Party Massacre III,100639,R
The Better 'Ole,16643,
Mojin: The Lost Legend,4276752,
The Comfort of Strangers,99292,R
Losin' It,85868,R
Jai Ho,1188982,
Yankee Pasha,47684,
The Legend of Blood Mountain,229528,
Home of the Brave: A Film by Laurie Anderson,91216,
Lost Angels,97782,R
De Sade,64212,"R,X"
Kickboxer 2: The Road Back,102202,R
Gonzo,479468,R
MVP: Most Valuable Primate,196106,PG
Mohenjo Daro,3859980,
An Interview with God,5779372,
The Singles Ward,306069,PG
Paper Heart,1331064,PG-13
'71,2614684,R
Asterix: The Secret of the Magic Potion,8001346,
Robot Jox,102800,PG
Blue in the Face,112541,R
The Rapture,102757,R
Future World,5737536,R
Walking and Talking,118113,R
Three the Hard Way,72284,R
The Road Home,235060,G
Tumbleweeds,161023,PG-13
Startup.com,256408,R
Romance,194314,R
Time Changer,295725,PG
Churchill,2674454,PG
Jesus' Son,186253,R
Jab Harry Met Sejal,5997666,
Cecil B. Demented,173716,R
Fist of Fury,68767,R
Kaminey,1274295,
The Kings of Summer,2179116,R
Bloodfist II,99155,R
The House on Sorority Row,85694,R
Iris,280778,R
Dogtown and Z-Boys,275309,PG-13
Funny Games,808279,R
The Hot Spot,99797,R
Radioland Murders,110939,PG
The Aviator,88758,PG
Goodbye Mr. Loser,5061814,
8 Million Ways to Die,90568,R
Personal Shopper,4714782,R
The Gambler,71532,R
Babar: The Movie,96869,G
The Fourth War,99606,R
Brother's Keeper,103888,R
The Good German,452624,R
Iris,4157220,PG-13
Off the Map,332285,PG-13
Anne Frank Remembered,112373,PG
Saints and Soldiers,373283,"PG-13,R"
Catfish in Black Bean Sauce,162903,PG-13
Happy Endings,361693,R
See No Evil,67727,GP
Romero,98219,PG-13
Another Earth,1549572,PG-13
Hearts of Darkness: A Filmmaker's Apocalypse,102015,R
The Ballad of Josie,61380,
Divided We Fall,234288,PG-13
Joan the Woman,8150,
Baaghi 2,6843812,
First Lady,7919372,
The Dinner,3203620,R
Three Colors: Blue,108394,R
Sarah Silverman: Jesus Is Magic,422528,
The Work and the Glory III: A House Divided,460611,PG
Thumbsucker,318761,R
The Ultimate Life,1778924,PG
Steele Justice,94034,R
Dear Frankie,377752,PG-13
Son of Kong,24593,
At Play in the Fields of the Lord,101373,R
Heavy Traffic,70165,"R,X"
The Salt of the Earth,3674140,PG-13
Wadjda,2258858,PG
Gas Food Lodging,104321,R
The Cokeville Miracle,3877296,PG-13
Platoon Leader,95877,R
The Oscar Nominated Short Films: Animation,1839647,
Snow Flower and the Secret Fan,1541995,PG-13
True Love,98528,R
The Secrets of Jonathan Sperry,1070858,PG
My Friend Dahmer,2291540,R
Kansas City,116745,R
From a Whisper to a Scream,91671,R
"X, Y and Zee",69516,"R,PG"
The Devil's Double,1270262,R
Fan,3495026,
Genius,1703957,PG-13
Force Majeure,2121382,R
Gimme Shelter,1657510,PG-13
Spanking the Monkey,111252,
Safety Last!,14429,
The Laughing Policeman,70292,R
Read My Lips,274117,R
Locke,2692904,R
Bodyguard,1585558,
Looking for Richard,116913,PG-13
Strange Invaders,86374,PG
The Stone Killer,70736,R
Repossessed,100475,PG-13
"Hello, Love, Goodbye",10156112,
The Kid with a Bike,1827512,PG-13
Welcome Back,3159708,
Doctors' Wives,67004,R
Penitentiary III,93714,R
X Games 3D: The Movie,1440770,PG
Private Pérez,461336,PG-13
Give My Regards to Broad Street,87337,PG
El Chicano,7374952,R
Courage Mountain,97115,PG
Dear Zindagi,5946128,
Ushpizin,426155,PG
The Wedding Plan,5991206,PG
The Boy from Oklahoma,46804,
French Twist,113149,R
China Girl,34593,
Ponette,117359,
Beachhead,46757,
War Arrow,46532,
Arch of Triumph,40109,
It Should Happen to You,47123,
Secret of the Incas,47464,
Times Square,81635,R
Suddenly,47542,
American Flyers,88707,PG-13
Riding Shotgun,47413,
The Little Shop of Horrors,54033,
Lolita,119558,R
I Hope They Serve Beer in Hell,1220628,R
The Art of Getting By,1645080,PG-13
Infinitely Polar Bear,1969062,R
Sahara,86232,PG
Queen,3322420,
The Man from Elysian Fields,265307,R
Judwaa 2,5456546,
No End in Sight,912593,
A Prayer for the Dying,93771,R
Old Ironsides,17226,
The Kid Stays in the Picture,303353,R
Down by Law,90967,R
Why We Fight,436971,PG-13
Love at Large,100065,R
Raajneeti,1291465,
"Two Days, One Night",2737050,PG-13
Movie Crazy,23241,
Oklahoma Crude,70472,PG
"Tarzan, the Ape Man",53335,G
Greenfingers,203540,R
"Don't Worry, He Won't Get Far on Foot",6288124,R
Genesis: Paradise Lost,7522002,PG
Belizaire the Cajun,90710,PG
2046,212712,R
Nowhere Boy,1266029,R
Kambakkht Ishq,1144804,
Shadow of the Wolf,105377,PG-13
My Mother's Castle,99266,PG
Thugs of Hindostan,5970844,
After the Wedding,7985692,PG-13
Welcome to the Sticks,1064932,
Donnie Darko,246578,R
Medium Cool,64652,R
The Navigator,15163,
Toni Erdmann,4048272,R
Evelyn,298856,PG
Night Watch,403358,R
The Beautiful Blonde from Bashful Bend,41165,
Julieta,4326444,R
Bollywood/Hollywood,303785,PG-13
Sex and Lucía,254455,R
Priceless,4978274,PG-13
Garbo Talks,87313,PG-13
A Cry in the Wild,99327,PG
City of Industry,118859,R
A Dangerous Woman,106661,R
Departures,1069238,PG-13
Priceless,482088,"PG-13,R"
M. Butterfly,107468,R
Out of Order,2600818,
The Case for Heaven,18302002,
Men of the Fighting Lady,47230,
How to Make Money Selling Drugs,1276962,
Sitting Bull,47501,
Lianna,85838,R
The Long Wait,47190,
The Whistle Blower,92206,PG
Trash,66482,R
Being Human,106379,PG-13
Watermelon Man,66550,R
Land of the Pharaohs,48283,
Girlfight,210075,R
Stepfather II: Make Room for Daddy,98385,R
The Virgin Spring,53976,
Beautiful Thing,115640,R
Murderball,436613,"PG-13,R"
Misunderstood,87730,PG
A Midnight Clear,102443,R
Dogville,276919,R
Josh and S.A.M.,107277,PG-13
A Taxi Driver,6878038,
Trust the Man,427968,R
The Last of the Finest,99991,R
Delhi Belly,1934231,
The Eiger Sanction,72926,R
Destroyer,7137380,R
Neerja,5286444,
The Gingerbread Man,119196,R
Last Embrace,79437,R
Live Flesh,118819,R
Fed Up,2381335,PG
The Damned Don't Cry,42376,
Three for the Road,94140,PG
Bully,242193,R
One False Move,102592,R
Year of the Dog,756729,PG-13
Operation Red Sea,6878882,
The Haunting of Morella,99743,R
Withnail & I,94336,R
A Royal Affair,1276419,R
Two Moon Junction,96324,R
Tarzan's Fight for Life,52275,
I Am,1741225,
Veronica Guerin,312549,R
Microcosmos,117040,G
Your Sister's Sister,1742336,R
Parnell,29377,
The Garbage Pail Kids Movie,93072,PG
Slow Dancing in the Big City,78278,PG
May Fools,97884,R
Red Joan,7615302,R
Vincent,94269,
The Stray,5342904,PG
Gomorrah,929425,
Solarbabies,91981,PG-13
Race 2,1375789,
Making Mr. Right,93477,PG-13
"New York, I Love You",808399,R
Professor Marston & the Wonder Women,6133130,R
Nicholas Nickleby,309912,PG
Citizen Kane,33467,PG
Feet First,20876,
Up the Sandbox,69449,R
A Ghost Story,6265828,R
Rhyme & Reason,120014,R
Chasers,109403,R
Law and Disorder,71743,R
Stories We Tell,2366450,PG-13
Electra Glide in Blue,70022,PG
Jonathan Livingston Seagull,70248,G
La Florida,106931,
Dumbo,33563,G
Standing in the Shadows of Motown,314725,PG
"It's Your Turn, Laura",158539,
Jesus of Montreal,97635,R
Jolly LLB 2,5982852,
The Big Noise,36644,
A Private War,2368254,R
The Ox-Bow Incident,36244,
Spider,278731,R
Wild Rose,5117428,R
Summer Hours,836700,
Pirates,91757,PG-13
Asterix and Obelix vs. Caesar,133385,
Underworld,18526,
How I Got Into College,97530,PG-13
Daughters of the Dust,104057,
I Saw the Light,1490785,R
Battle for Terra,858486,PG
The Letters,1445208,PG
Get Crazy,85551,R
Marci X,266747,R
The Little Hours,5666304,R
The Celebration,154420,R
First Men in the Moon,58100,
When the Cat's Away,115856,R
Factory Girl,432402,R
Prick Up Your Ears,93776,R
Capernaum,8267604,R
Out on a Limb,105078,PG
The Comedian,1967614,R
Tim's Vermeer,3089388,PG-13
Asterix and Obelix: Mansion of the Gods,3759416,
Bad Lieutenant: Port of Call New Orleans,1095217,R
When Time Ran Out...,81747,PG
Anna Lucasta,41125,
Best of the Best,96913,PG-13
Death Wish: The Face of Death,109578,R
"Hook, Line and Sinker",20987,
Stoker,1682180,R
Menashe,6333086,PG
Red Dust,23382,
Lady in White,95484,"PG-13,R"
Sweet Land,428038,PG
The Life and Times of Hank Greenberg,208261,PG
A Home of Our Own,107130,PG
The Girl on the Bridge,144201,R
Everything Is Illuminated,404030,PG-13
Beau Geste,16634,
Even Cowgirls Get the Blues,106834,R
The Attack,787442,R
High Heels,103030,R
Washington Square,120481,PG
My Father's Glory,99669,G
Steel,120207,PG-13
Deadly Force,85409,R
The Vatican Tapes,1524575,PG-13
Link,91415,R
Blue,106438,
La passion d'Augustine,4392438,
We Need to Talk About Kevin,1242460,R
The Story of the Weeping Camel,373861,PG
House III: The Horror Show,97527,R
Cries & Whispers,69467,R
The Broken Hearts Club: A Romantic Comedy,222850,R
The Debut,163745,R
Personal Services,93727,R
Vanya on 42nd Street,111590,PG
Hunk,93231,PG
Everybody's Fine,100681,PG-13
The Minis,1009017,
Prospero's Books,102722,R
Little Fauss and Big Halsy,65989,R
Flipped,817177,PG
Carnosaur,106521,R
The Horse Soldiers,52902,
Valentino: The Last Emperor,1176244,PG-13
Holy Smoke,144715,R
A Better Life,1554091,PG-13
A Soldier's Daughter Never Cries,120835,R
Carman: The Champion,262462,PG-13
Bloodfist,96952,R
Naked,107653,
Count Your Blessings,52706,
Liste noire,113664,
The King of Kings,18054,
Somewhere,1421051,R
Boxing Helena,106471,R
Tender Embers,7589322,
Free Fire,4158096,R
Hurlyburly,119336,R
The Beast of Babylon Against the Son of Hercules,57038,
Damaged Lives,28755,
Crossed Swords,46024,
"Sleep, My Love",40798,
Kid Galahad,56138,
Hysteria,1435513,R
Che: Part One,892255,
NSync: Bigger Than Live,257953,
The Twelve Chairs,66495,"GP,G"
The Wall,4218696,R
The Color of Paradise,191043,PG
The Wild Child,64285,G
Clouds of Sils Maria,2452254,R
Harry Brown,1289406,R
I Shot Andy Warhol,116594,R
Bossa Nova,180837,R
The Last Tycoon,74777,PG
Kinky Boots,434124,PG-13
Exposed,85513,R
The Buddy System,87006,PG
Tusk,3099498,R
Testament of Youth,1441953,PG-13
The Butcher Boy,118804,R
Salaam-e-Ishq,485272,
The Forbidden Dance,99595,PG-13
Racetime,8925540,PG
The Horseman on the Roof,113362,R
Pope Francis: A Man of His Word,6915100,PG
Cake,3442006,R
Breaking In,96976,R
The Slugger's Wife,90036,PG-13
The Corporation,379225,
Only Lovers Left Alive,1714915,R
Vibes,96378,PG
Cop,92783,R
The Night We Never Met,107685,R
The Story of Qiu Ju,105197,PG
Masterminds,119630,PG-13
A Sound of Thunder,318081,PG-13
Bring on the Night,88855,PG-13
Mortal Passions,100188,R
Youth,6654316,
Quiet Cool,91815,R
Permanent Record,95853,PG-13
The Proposition,421238,R
The Piano Teacher,254686,R
Assassination,3501416,
Everybody Loves Somebody,5537228,PG-13
The Decline of the American Empire,90985,R
Along With the Gods: The Two Worlds,7160070,
The Scent of Green Papaya,107617,
State of Grace,100685,R
The Four Horsemen of the Apocalypse,54890,
Madame Bovary,102368,PG-13
Mass Appeal,87688,PG
"Happy, Texas",162360,PG-13
Jake Speed,91282,PG
Race the Sun,117427,PG
The Legend of Nigger Charley,68838,PG
Indian Horse,5672286,
Love Field,104765,PG-13
Blindness,169624,
Two Girls and a Guy,124179,"NC-17,R"
The Clan of the Cave Bear,90848,R
Assassination Nation,6205872,R
Back Street,22651,
Crazy in Alabama,142201,PG-13
Margot at the Wedding,757361,R
Dreams,100998,PG
Flaming Star,53825,
Coffee and Cigarettes,379217,R
Raggedy Man,82969,"R,PG"
Betrayed,46770,
The Incredibly True Adventure of Two Girls in Love,113416,R
Savage Islands,85994,PG
Demolition,1172049,R
Tamasha,3148502,
Agneepath,1849718,
Shortbus,367027,
Detective Chinatown 2,7752454,R
Ju Dou,99902,PG-13
Possessed,39725,
Oliver Twist,380599,PG-13
Greater,2950418,PG
A Bigger Splash,2056771,R
Nemesis,107668,R
Bad Lieutenant,103759,"NC-17,R"
The Front Runner,7074886,R
Surviving Picasso,117791,R
Betty Blue,90563,
Red Nose,380585,
Honky Tonk Freeway,82525,PG
Hum Saath-Saath Hain,216817,
Bubba Ho-Tep,281686,R
The Handmaiden,4016934,
Footnote,1445520,PG
In God We Trust (or Gimme That Prime Time Religion),80917,PG
Monsieur Lazhar,2011971,PG-13
The Moderns,95649,R
Flying Down to Rio,24025,
Better Than Chocolate,168987,R
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",80461,G
The Immigrant,1951181,R
The Trip,1740047,
Sur le seuil,380732,
The Tamarind Seed,72253,PG
Billy's Hollywood Screen Kiss,137386,R
Rad,91817,PG
Queen Margot,110963,R
Night on Earth,102536,R
The Dressmaker,2910904,R
Three Seasons,138874,PG-13
A Fantastic Woman,5639354,R
The Concert for Bangladesh,158560,G
Sphinx,83113,PG
Testament,86429,PG
Beyond the Mat,218043,R
Jacknife,97607,R
Trick,162710,R
Pelle the Conqueror,93713,PG-13
Three Men and a Cradle,90206,PG-13
The Iron Horse,15016,
The Krays,99951,R
Brick,393109,R
Rust and Bone,2053425,R
Auto Focus,298744,R
Ravenous,129332,R
Anne of the Thousand Days,64030,"M/PG,PG"
Cadence,101531,PG-13
Strangers with Candy,369994,R
The Informer,26529,
Blackfish,2545118,PG-13
Raising Victor Vargas,316188,R
Rab Ne Bana Di Jodi,1182937,
The Wizard of Oz,32138,"G,PG"
Purple Hearts,87956,R
The Sheltering Sky,100594,R
The Wackness,1082886,R
Strawberry & Chocolate,106966,R
Salaam Bombay!,96028,
I'm Not Ashamed,4950110,PG-13
Autumn Tale,137439,PG
Screwballs,86264,R
The Maltese Falcon,33870,
The Daytrippers,116041,R
Othello,114057,R
The Nutcracker,107719,G
29th Street,101252,R
Mallrats,113749,R
Farinelli,109771,R
Videodrome,86541,R
Framed,73015,R
Let the Right One In,1139797,R
The Quiet Earth,89869,R
Train to Busan,5700672,
Windows,81759,R
The Journey of Natty Gann,89385,PG
Brad's Status,5884230,R
The Saratov Approach,2887322,PG-13
The Oscar Nominated Short Films 2013: Live Action,2691580,R
Morgan Stewart's Coming Home,93567,PG-13
Paterson,5247022,R
The Patriarch,4958468,PG-13
Mrs. Parker and the Vicious Circle,110588,R
The Princess and the Goblin,107875,G
Meatballs III: Summer Job,93516,R
A Dog of Flanders,160216,PG
The Parallax View,71970,R
Rich in Love,105256,PG-13
Blood Simple,86979,R
Austenland,1985019,PG-13
Shadow Conspiracy,120107,R
Heartbeeps,82507,PG
The Endless Summer 2,109729,PG
Scenes from the Class Struggle in Beverly Hills,98261,R
Turtle Diary,90219,PG
Jem and the Holograms,3614530,PG
Russkies,93898,PG
Scoob!,3152592,PG
Electric Dreams,87197,PG
Heathcliff: The Movie,104401,G
Krrish 3,1029231,
Oldboy,1321511,R
The Lovers,5770620,R
A Month by the Lake,113849,PG
Chinese Box,118851,R
Blue Is the Warmest Colour,2278871,NC-17
Rang De Basanti,405508,
The Impostors,120823,R
To Live in Peace,39966,
Fedora,77539,PG
Once Were Warriors,110729,R
Dark Eyes,93664,
The Host,468492,R
But I'm a Cheerleader,179116,R
Transsiberian,800241,R
Euphoria,847877,
There's a Girl in My Soup,66449,R
The Christmas Candle,2739338,PG
Def by Temptation,99395,R
Shattered Glass,323944,PG-13
"Carry On, Munna Bhai",456144,
Smilla's Sense of Snow,120152,R
2 States,2372678,
The White Ribbon,1149362,R
The Hunchback of Notre Dame,14142,
Perfume: The Story of a Murderer,396171,R
Le Week-End,2392326,R
The Women,32143,
Texasville,103069,R
Super 30,7485048,
The East,1869716,PG-13
One Hundred Men and a Girl,29347,
The Valet,449851,PG-13
Bamboozled,215545,R
Showdown in Little Tokyo,102915,R
Riding Giants,389326,PG-13
The Resurrection of Gavin Stone,4902904,PG
Adam,1185836,PG-13
Nomads,91647,R
"Yes, Giorgio",84931,PG
A Brief History of Time,103882,G
Collide,2126235,PG-13
Noises Off...,105017,PG-13
Humoresque,38622,
The Fall,460791,R
Ma vie en rose,119590,R
The Nasty Girl,100557,PG-13
Mark Twain's America in,119621,G
The Company,335013,PG-13
Waltz with Bashir,1185616,R
Pecker,126604,R
Dancing at Lughnasa,120643,PG
Snowriders II,126036,
Renoir,2150332,R
The Seven-Ups,70672,PG
The Killing of a Sacred Deer,5715874,R
Weeds,94304,R
"Mary, Queen of Scots",67402,"PG-13,GP"
Last Orders,253200,R
A World Apart,96464,PG
Meru,2545428,R
Bucky Larson: Born to Be a Star,1411664,R
To Live,110081,
Gabriela,189541,R
Save the Tiger,70640,R
Layer Cake,375912,R
Papillon,5093026,R
She's the Man,454945,PG-13
Double Dragon,106761,PG-13
1991,8264546,
Redbelt,1012804,R
Downtown,99460,R
Once There Was a Tiger,2016894,
No,2059255,R
At Close Range,90670,R
The Business of Show Business,2281499,
Bon Voyage,310778,PG-13
"My People, My Country",10147382,
A Little Sex,84259,R
Buffalo '66,118789,R
Last Summer,64573,"R,X"
Princess Mononoke,119698,PG-13
Hillsong: Let Hope Rise,3850544,PG
Krakatoa: East of Java,64555,G
The Dancer Upstairs,118926,R
Sidewalks of New York,239986,R
BloodRayne,383222,R
The Kindred,91343,R
Arctic,6820256,PG-13
Go Fish,109913,R
Lawnmower Man 2: Beyond Cyberspace,116839,PG-13
The Art of Self-Defense,7339248,R
Wanda Nevada,80116,PG
A Sunday in the Country,88318,G
The Disappointments Room,2364897,R
Dead of Winter,92842,R
Body Chemistry,99164,R
The Rider,6217608,R
The Stupids,117768,PG
The Gatekeepers,2309788,PG-13
Flirting,101898,R
Hell Is for Heroes,56062,
Mary and the Witch's Flower,6336356,PG
Farewell to the King,97334,PG-13
Godzilla,47034,
The Prisoner of Zenda,79753,PG
Love Aaj Kal,1275863,
The Basketball Diaries,112461,R
You Kill Me,796375,R
The Grace Card,1544600,PG-13
The Homesman,2398231,R
Ghajini,1166100,
Tulip Fever,491203,R
Mistress America,2872462,R
Suspiria,1034415,R
LBJ,4778988,R
Himalaya,210727,
My One and Only,1185431,PG-13
Jefferson in Paris,113463,PG-13
The Lost City,343996,R
The Taking of Pelham One Two Three,72251,R
Choose Me,87054,R
"Silent Night, Deadly Night",88117,R
Desert Hearts,89015,R
Moonlight and Valentino,113851,R
Rumble Fish,86216,R
The Stepfather,94035,R
P.O.W. the Escape,91713,R
The Road to Ruin,19332,
40 Carats,70068,PG
Two Guys from Milwaukee,39053,
Last Train from Gun Hill,52993,
On the Riviera,43882,
Moscow Does Not Believe in Tears,79579,PG
Impulse,87464,R
The King of Comedy,85794,PG
"Paradise, Hawaiian Style",59563,G
The Secret of Santa Vittoria,64952,"PG-13,M"
Red Rock West,105226,R
Skyjacked,69278,PG
Career Girls,118818,R
Ridicule,117477,R
Full Frontal,290212,R
Naked Lunch,102511,R
Love and Death on Long Island,119574,PG-13
Impulse,99832,R
Truth,3859076,R
True Stories,92117,PG
Bang Bang,2905838,
Carnage,280523,
Carnage,1692486,R
"Goodbye, Mr. Chips",64382,G
Prince of Foxes,41767,
King of New York,99939,R
Jiro Dreams of Sushi,1772925,PG
Dragon Ball Z: Battle of Gods,2263944,
Under the Volcano,88322,R
Captive,3268668,PG-13
Maxie,89569,PG
Brassed Off,115744,R
18 Again!,94593,PG
The Cure,112757,PG-13
House of Games,93223,R
Calendar Girl,106505,PG-13
It Came from Hollywood,84156,PG
Here Comes the Navy,25238,
Control Room,391024,
A Question of Faith,6054650,PG
The Admiral: Roaring Currents,3541262,
N-Secure,1289419,R
Darling Lili,65611,G
Qué León,8170902,PG-13
Girl in Progress,1817676,PG-13
The Raid 2,2265171,R
Captivity,374563,R
Villa Rides,63775,R
He Named Me Malala,3065132,PG-13
Magic in the Water,113737,PG
Dhoom 2,441048,
God's Army,238247,PG
Miracle on 34th Street,39628,
The Mighty,119670,PG-13
Chi-Raq,4594834,R
Kids in the Hall: Brain Candy,116768,R
Easy Virtue,808244,PG-13
Beyond the Valley of the Dolls,65466,"NC-17,X"
Everybody Knows,4964788,R
The Final Option,83941,R
The Scout,111094,PG-13
Playing for Keeps,91767,PG-13
The New Interns,58398,
Junebug,418773,R
Samsara,770802,PG-13
My Cousin Rachel,4411596,PG-13
"After Dark, My Sweet",98994,R
RamLeela,2215477,
Ip Man 3,2888046,PG-13
Sankofa,108041,
Bad Medicine,88765,PG-13
The Bear,86945,PG
Hello Mary Lou: Prom Night II,93176,R
Blind Fury,96945,R
Grand Hotel,22958,
Bobby Jones: Stroke of Genius,375104,PG
Kalank,6988116,
Blood and Sand,12952,
In the Mood for Love,118694,PG
King Kong vs. Godzilla,56142,
Hot Moves,89304,R
The Shocking Miss Pilgrim,39819,
Putney Swope,64855,R
Shadows and Fog,105378,PG-13
Desperate Hours,99409,R
Comedian,328962,R
My Architect,373175,
Deadtime Stories,92850,R
Freeriders,168808,
The Pyramid,2799166,R
Dr. Jekyll and Ms. Hyde,112895,PG-13
How to Lose Friends & Alienate People,455538,R
Diary of a Mad Housewife,65636,R
East/West,181530,PG-13
Justine,64526,R
Unforgettable,118040,R
Gleaming the Cube,97438,PG-13
The Clock,37604,
La boda de Valentina,4823538,R
Bugsy Malone,74256,G
Hexed,107107,R
When We Were Kings,118147,PG
Kirk Cameron's Saving Christmas,4009460,PG
Dr. Jekyll and Mr. Hyde,22835,
Year of the Comet,105871,PG-13
California Casanova,101536,R
Heat,93164,R
Reservoir Dogs,105236,R
Filly Brown,1869425,R
In Old Arizona,20018,
The Perez Family,114113,R
The Face of Fu Manchu,59162,G
The Jungle Book,34928,
Running on Empty,96018,PG-13
Kedi,4420704,
The Adventurers,65374,"R,PG"
God Bless the Broken Road,5702446,PG
Letters to God,1462054,PG
eXistenZ,120907,R
Airborne,106233,PG
The Great Beauty,2358891,
The Man in the Moon,102388,PG-13
In the Company of Men,119361,R
American Animals,6212478,R
Cinderella Liberty,69883,R
Home Run,2051894,PG-13
Modern Romance,82764,R
Rappin',89883,PG
Another You,101356,R
The Hudsucker Proxy,110074,PG
Jinxed!,84173,R
The Trip to Italy,2967006,
Unzipped,114805,R
Love! Valour! Compassion!,119578,R
No Man's Land,93638,R
Shallow Grave,111149,R
Anthropoid,4190530,R
The Warrior and the Sorceress,88379,R
Tadpole,271219,PG-13
Captain Blood,26174,
In a World...,2294677,R
Miss Potter,482546,PG
Isn't She Great,141399,R
Basquiat,115632,R
Martha Marcy May Marlene,1441326,R
Before I Go to Sleep,1726592,R
The Glass Slipper,48124,
Homicide,102048,R
Bharat,7721800,
Cleopatra Jones,69890,PG
The Pope Must Diet,102691,R
Rock the Kasbah,3164256,R
Fright Night Part 2,97390,R
The Other Side of the Door,3702652,R
Bullies,90779,R
The End of the Tour,3416744,R
Over the Hill to the Poorhouse,11549,
The Miracle Man,10466,
His People,15918,
Macumba Love,54045,
The Bandit of Sherwood Forest,38326,
Without Reservations,39110,
Sign 'o' the Times,93970,PG-13
Three Smart Girls,28373,
Running Brave,86220,PG
Behold a Pale Horse,57879,
Paid in Full,259484,R
The World in His Arms,45339,
Jab Tak Hai Jaan,2176013,
Heavenly Creatures,110005,R
Pygmalion,30637,
Night of Dark Shadows,67491,"GP,PG"
The Blue Angel,52638,
Songcatcher,210299,PG-13
Waterloo,66549,G
CrissCross,104027,R
Passage to Mars,3190158,
The Band's Visit,1032856,PG-13
Illegal Tender,775488,R
The Wild Parrots of Telegraph Hill,424565,G
Widow of St. Pierre,191636,R
Ladrones,4296800,PG-13
Song of the Thin Man,39853,
Malone,93483,R
Beautiful,210567,PG-13
The Public Eye,105187,R
Messenger of Death,95626,R
Jawbreaker,155776,R
Sunshine State,286179,PG-13
Blindness,861689,R
Chloe,1352824,R
8 Women,283832,R
Dominick and Eugene,95050,PG-13
Speed Zone,98369,PG
Elvis Gratton II: Miracle à Memphis,180668,
Capturing the Friedmans,342172,
Wordplay,492506,PG
"Synecdoche, New York",383028,R
Mr. Wonderful,107613,PG-13
Obvious Child,2910274,R
Rosewater,2752688,R
Maurice,93512,R
Mean Streets,70379,R
The Favor,109783,R
The Naked Cage,91603,R
Two Lovers,1103275,R
Sgt. Stubby: An American Hero,5314190,PG
The Sisters Brothers,4971344,R
The Big Kahuna,189584,R
Clerks,109445,"NC-17,R"
I've Loved You So Long,1068649,PG-13
House of Usher,53925,
Our Kind of Traitor,1995390,R
The Eagle Huntress,3882074,G
Rude Awakening,98230,R
Resurrecting the Champ,416185,PG-13
Grizzly Man,427312,R
Crumb,109508,R
Ride,268575,
Shaft in Africa,70679,R
The Skin I Live In,1189073,R
Penitentiary II,84485,R
Silent Fall,111187,R
7 Days in Entebbe,5466186,PG-13
Tomorrow Is Forever,39041,
Splitting Heirs,108207,PG-13
A Smile Like Yours,120151,R
You Will Meet a Tall Dark Stranger,1182350,R
The Fifth Estate,1837703,R
Treehouse,1791681,
The Sweet Hereafter,120255,R
Mi vida loca,107566,R
Zoot Suit,83365,R
Pinocchio and the Emperor of the Night,93743,G
Raees,3405236,
Mrs Dalloway,119723,PG-13
The Million Dollar Mystery,4336,
The Three Musketeers,12752,
Nothing But Trouble,37138,
The Iron Mask,20030,
Tarzan Triumphs,36414,
The Only Game in Town,66184,M/PG
Tarzan of the Apes,9682,
Flying Tigers,34742,
At Long Last Love,72665,G
Mirage,59448,
Closely Watched Trains,60802,
13 Ghosts,53559,
The Lion of the Desert,81059,PG
Cannonball,74279,PG
Charro!,64155,"G,PG"
All Quiet on the Western Front,20629,
The Hunchback of Notre Dame,31455,
'Round Midnight,90557,R
Only the Strong,107750,PG-13
Another Thin Man,31047,
The Glass Shield,109906,PG-13
Veronica Mars,2771372,PG-13
Shoplifters,8075192,R
Robot & Frank,1990314,PG-13
