Movie_Title,Movie_ID,ListOfCertificate
Green Book,6966692,PG-13
Cinderella,42332,G
The Expendables 2,1764651,R
Aliens,90605,R
Anchorman: The Legend of Ron Burgundy,357413,PG-13
Stripes,83131,R
Open Season,400717,PG
Brother Bear,328880,G
Power Rangers,3717490,PG-13
Real Steel,433035,PG-13
Alita: Battle Angel,437086,PG-13
The SpongeBob SquarePants Movie,345950,PG
Fury,2713180,R
Pokémon: The First Movie - Mewtwo Strikes Back,190641,G
Mean Girls,377092,PG-13
Spy Kids 2: Island of Lost Dreams,287717,PG
Alvin and the Chipmunks: The Road Chip,2974918,PG
Annie,1823664,PG
Beowulf,442933,PG-13
The Pink Panther,383216,PG
Star Trek: The Motion Picture,79945,"PG,G"
Blade II,187738,R
Let's Be Cops,1924435,R
Bridge to Terabithia,398808,PG
Fried Green Tomatoes,101921,PG-13
Dracula,103874,R
Cheaper by the Dozen 2,452598,PG
Days of Thunder,99371,PG-13
Freddy vs. Jason,329101,R
Mr. Holland's Opus,113862,PG
The Descendants,1033575,R
Are We There Yet?,368578,PG
Monster-in-Law,369735,PG-13
Die Hard,95016,R
Disclosure,109635,R
Charlotte's Web,413895,G
Turbo,1860353,PG
Brokeback Mountain,388795,R
Limitless,1219289,PG-13
Valkyrie,985699,PG-13
WarGames,86567,PG
The Day the Earth Stood Still,970416,PG-13
Hannah Montana: The Movie,1114677,G
The Golden Child,91129,PG-13
Knowing,448011,PG-13
Dark Shadows,1077368,PG-13
War Horse,1568911,PG-13
Dear John,989757,PG-13
Earthquake,71455,PG
Footloose,87277,PG
A Star Is Born,75265,R
Men in Black: International,2283336,PG-13
Cloverfield,1060277,PG-13
The Mummy,2345759,PG-13
Goosebumps,1051904,PG
Jack Reacher,790724,PG-13
The Jewel of the Nile,89370,PG
Cocoon,88933,PG-13
The Ring Two,377109,PG-13
Pete's Dragon,2788732,PG
White Men Can't Jump,105812,R
Paddington,1109624,PG
Constantine,360486,R
Fantasia,32455,G
The Untouchables,94226,R
Knight and Day,1013743,PG-13
Conspiracy Theory,118883,R
Star Trek III: The Search for Spock,88170,PG
Poltergeist,84516,PG
Romancing the Stone,88011,PG
Yesterday,8079248,PG-13
Training Day,139654,R
Rugrats in Paris,213203,G
Law Abiding Citizen,1197624,R
Monster House,385880,PG
Deep Blue Sea,149261,R
Hugo,970179,PG
The Jerk,79367,R
Christmas with the Kranks,388419,PG
Beetlejuice,94721,PG
Father of the Bride Part II,113041,PG
Morbius,5108870,PG-13
Captain Underpants: The First Epic Movie,2091256,PG
Sin City,401792,R
Jack and Jill,810913,PG
Along Came a Spider,164334,R
No Country for Old Men,477348,R
Oliver & Company,95776,G
Annabelle Comes Home,8350360,R
Alien: Covenant,2316204,R
Paul Blart: Mall Cop 2,3450650,PG
Turner & Hooch,98536,PG
The Score,227445,R
The Spiderwick Chronicles,416236,PG
The Rescuers,76618,G
Scary Movie 2,257106,R
Safe Haven,1702439,PG-13
Sideways,375063,R
Bridget Jones's Diary,243155,R
National Lampoon's Christmas Vacation,97958,PG-13
The Bridges of Madison County,112579,PG-13
Stargate,111282,PG-13
"I Love You, Man",1155056,R
Chocolat,241303,PG-13
Sahara,318649,PG-13
Three Men and a Little Lady,98966,PG
Cool Runnings,106611,PG
Galaxy Quest,177789,PG
The Smurfs 2,2017020,"PG-13,PG"
Witness,90329,R
Angel Has Fallen,6189022,R
Guess Who,372237,PG-13
Game Night,2704998,R
Vertical Limit,190865,PG-13
Hot Shots!,102059,PG-13
Lost in Space,120738,PG-13
The First Purge,6133466,R
The Thomas Crown Affair,155267,R
The Kid,219854,PG
Nine Months,113986,PG-13
The Best Little Whorehouse in Texas,83642,R
